text,start,duration
チャンネルです,2.639,2.901
[拍手],109.82,5.43
[拍手],126.99,4.769
[音楽],188.1,3.08
[音楽],216.89,3.13
[音楽],229.41,3.08
[拍手],246.5,3.09
[拍手],253.39,3.13
[音楽],306.11,3.099
[拍手],433.8,8.27
[拍手],453.31,3.11
[拍手],500.46,3.21
[拍手],636.11,3.129
あの,758.459,3.181
みんな監督がいつ,759.72,4.14
ジャンパを脱がれるのかなと多分ドキドキ,761.64,5.3
いやいや別に,763.86,3.08
もし可能ならせっかくのインタビューあの,767.519,4.5
練習始めですのでお見せいただくこと可能,769.86,4.34
ですか,772.019,2.181
ちょっと暑かったけどな,781.56,3.2
OkOkありがとう,786.44,4.6
ございます後ろ姿も,789.12,5.12
少しお見せいただいてよろしいですか,791.04,3.2
では代表質問させていただきます,798.0,5.459
改めまして15年ぶりにこの縦縞に,800.579,4.921
ユニフォームそれを通した今のお気持ち,803.459,4.761
から聞かせてください,805.5,2.72
まあユニフォームよりもねやっぱり,809.459,5.041
精子とも,813.42,5.34
本当もね一緒にやって選手もいないしね,814.5,6.839
まあそういう意味では,818.76,4.44
前回よりはすごい新鮮な,821.339,3.961
感じはありますけどねだからまあそういう,823.2,2.84
意味では,825.3,5.099
いろんなね話っていうかねあの,826.04,6.58
まあ性格とかいろんなことはね,830.399,4.261
わからない部分が多いんでそういう意味で,832.62,3.6
コミュニケーションというかね,834.66,4.739
色々話あのねこれからねずっとやっていき,836.22,5.66
たいと思いますね,839.399,2.481
文字通り新たなスタートだと思うんです,841.92,3.599
けれども,844.38,3.6
練習前にはエンジンも含まれましたその中,845.519,4.5
で監督から何かお声はかけられたん,847.98,4.859
でしょうかいやいやだからもうねまあ,850.019,4.681
みんな初めてなんで,852.839,3.901
まああの,854.7,3.9
オフの選手いてるんだよねオフの選手だけ,856.74,3.839
はねあのちょっと,858.6,3.679
6人ですか,860.579,5.76
これからねあの回数も少なくなるんでまあ,862.279,5.981
いろいろとでまあ,866.339,3.24
来年まあ,868.26,3.6
LINE残ってっていうか,869.579,4.861
オフのをね過ごし方ね来年2月にねどう,871.86,5.539
いう形でやってほしいというかね,874.44,5.88
そういう話をしたんですけどねであとは,877.399,6.701
まあミーティングではおいおいねこのまあ,880.32,4.44
えー,884.1,3.359
甲子園1週間行ってるんですけどまあ1,884.76,6.18
週間のね間にまあ,887.459,6.0
個別でねちょっと話を聞きたい選手もい,890.94,4.98
てるしまあ何やってる,893.459,4.82
グループ別にねなんかそういうね話をね,895.92,6.599
あのこの期間にやっていきたいということ,898.279,5.081
をね,902.519,3.301
話しましたけどね,903.36,5.7
あの練習を拝見してると内野のシビ練習に,905.82,5.519
おいては監督も後ろの方からじーっと,909.06,4.8
見つめていらっしゃったような印象があり,911.339,4.921
ますあの改めて,913.86,4.38
初日ではあるんですけども監督の中で印象,916.26,3.66
に残ったことであったり,918.24,4.92
飲酒のこと選手はいらっしゃいますかん,919.92,6.859
印象に残ったことあるいは,923.16,3.619
今日ね,927.54,4.08
初日なんで別にねもうアドバイスがそう,929.459,2.821
いうのまあとにかく,931.62,2.04
[音楽],932.28,3.78
甲子園でこっちに行ってる間はねそういう,933.66,4.94
形で見て,936.06,2.54
ゲームの中でしかねなかなか見る機会が,940.019,3.481
なかったんで,941.76,4.62
練習の時からねどういう考えでね濃く,943.5,4.139
受けるとかね,946.38,4.8
色んなそういうことをねまあ何々さんの,947.639,5.281
話し合いが一番多くなると思いますけど,951.18,4.26
特に言う感ねうんその,952.92,4.74
辺でねやっぱり,955.44,3.6
まあ,957.66,4.02
こうしてほしいっていうねあのチームの,959.04,6.239
方針としてね特に夕刊はねそういうこと,961.68,5.94
話していきたいと思うんでまだずっとあの,965.279,4.981
まだちょっと見てるような見てる様子だけ,967.62,6.24
ですねまあ別にねこのこっちではまあ,970.26,4.8
少しアドバイス送るかもわからないけど,973.86,3.36
そんなにねこう,975.06,3.6
話あの,977.22,2.88
グランドでね言うことはないと思います,978.66,3.239
けどね,980.1,5.46
今入館というお話も出ましたがあの付随,981.899,6.12
すると思いますがチームが一層強くなる,985.56,4.68
ためには競争というのはすごく大切になっ,988.019,4.5
てくると思いますその手の,990.24,5.24
期待感というのはいかがでしょうか,992.519,2.961
競争というかねまあ最終的にまあねえあの,995.94,6.839
セカンドショット一緒と考えてないんでね,1000.38,4.74
ショートはショートの専門職セカンドは,1002.779,5.041
セカンド専門職でそれのミックスなんでね,1005.12,3.48
その,1007.82,3.12
ミックスがコンビなんでその,1008.6,4.859
辺は当然見極めないといけないと思うしま,1010.94,5.339
あ1年間であの,1013.459,6.841
ねえその2人のコンビでねなかなか1年間,1016.279,5.701
コースで行こうとはすごく難しいと思うん,1020.3,4.139
ですけどねだからそういう意味でもまあね,1021.98,5.4
それに付随するようなね力のね持ってる,1024.439,3.961
選手を,1027.38,3.299
当然そこにねあの抜擢しないといけないと,1028.4,5.46
思うしだからそういう意味でまあこの,1030.679,5.52
キャンプねあの,1033.86,5.4
特に11月ですねまあ今フェニックスいっ,1036.199,6.421
てるね若い選手もね含めてまあ入荷に関し,1039.26,6.659
てはねある程度まあ11月の秋のキャンプ,1042.62,8.179
