text,start,duration
きっかけないと俺達もさその,7.319,4.381
勧められないでしょあそういうことそう,9.0,6.179
多分今今この人がそのどどうも,11.7,5.72
すいません,15.179,2.241
盛り上がってんだ,18.48,2.66
本日はこれ,22.56,4.44
家族がいますマジでやるのでこちら糸です,23.939,5.521
ねじゃあね早速こちらのカードのねあの,27.0,3.9
説明するんですけどもはいかたくん,29.46,2.0
よろしくお願いします,30.9,3.719
[音楽],31.46,3.159
簡単に説明させていただきます,35.04,4.98
このゲームのルールは1から100まで,36.62,5.32
あるカードの中から,40.02,4.379
配られた1枚のカードの数字を,41.94,6.42
絶対に言わずにお題に沿ったものや言葉で,44.399,6.18
自分の手札を手札が,48.36,4.5
表現してくださいそこから通知が小さいと,50.579,4.32
思う順に手札を出さなければならないと,52.86,4.019
いうゲームですでも今回ちょっと少し,54.899,3.601
ルールを変えたいなと思います,56.879,3.301
題してエピソード,58.5,3.079
版糸ゲーム,60.18,4.86
今回はちょっと自分たちのなんか,61.579,4.54
エピソード,65.04,3.66
みんなの個人的なエピソードでその数字の,66.119,4.981
こう大きく大小ちょっと表現してほしい,68.7,4.98
なっていう例えばお題が,71.1,5.72
子供の頃にやらかしちゃった出来事,73.68,7.74
はいという場合一応引いた人は例えば,76.82,7.5
デパートでようになっちゃった,81.42,5.879
あんまり大きくないでしょこれね多分ね鍋,84.32,7.06
にだけ説明すれば大丈夫なのよね,87.299,5.881
眠そうだ多分ね,91.38,4.02
例えば1を引くじゃん自分がカードでその,93.18,4.799
時に1みたいなそうこれレベルが弱いかも,95.4,3.679
しれない,97.979,3.301
100になっちゃったら,99.079,4.061
例えばお泊り会で,101.28,3.659
みんながこうみんなの前でなんかおねしょ,103.14,4.019
しちゃったとか結構大きな出来事になる,104.939,5.961
みたいなそういうのって価値観違うからね,107.159,3.741
揃っちゃったらもうそれで終わりでいいか,120.06,3.559
なと思って,121.32,2.299
第1回目の答えますこちらどうぞ,125.159,3.841
[音楽],127.8,3.5
舞台やコンサートでの出版,129.0,5.42
なるほどね,131.3,3.12
家の案内も出てくるのねそうなのよ,157.62,3.56
勝ちそうになったやつあこれちょうど自分,164.34,5.88
の数字っぽいなって大丈夫何か今数字,167.459,4.941
みたいなね,170.22,2.18
急に,173.519,3.921
言ったけど,175.26,2.18
やり直すならまあ別に,184.4,6.0
全然俺言っちゃうじゃん,188.16,4.53
それじゃなかった,190.4,5.38
[音楽],192.69,3.09
[音楽],200.11,3.129
最悪だよ,204.379,3.121
難しいかもねどっちに売っていいんだろ,209.76,3.3
うっていう,211.379,3.301
上なるほど,213.06,4.34
OK,214.68,2.72
じゃあ俺ですね,218.78,3.76
どれは,220.58,3.34
舞台で,222.54,2.94
